,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rnkpr,0.414216175,0.910401217,0.238247561,0.573023926,0.143705049,0.60937417,0.081596821,0.310945033,0.64310735,0.152251169,f1,f1_rnk,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rnkpr,0.232951134,0.776750583,0.205099744,0.523378296,0.106097968,0.232434804,0.076825741,0.295228597,0.461368689,0.084596979,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rnkpr,0.439315452,0.927509773,0.266668317,0.616065862,0.22610267,0.631015236,0.085864331,0.350756264,0.699496886,0.24557896,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_welog,0.862329114,0.998600843,0.819486111,0.835343906,0.693834241,0.911174183,0.684292237,0.784904372,0.96582913,0.74179014,ro,roc_we,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_welog,0.371952104,0.960833543,0.175244609,0.344931436,0.156329953,0.535491304,0.09320628,0.33144497,0.755425068,0.151513948,ap,ap_wel,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_welog,0.291673514,0.845114228,0.234441877,0.377132385,0.143735666,0.279637906,0.089007757,0.305137648,0.548352988,0.140294253,f1,f1_wel,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_welog,0.122854556,0.398729226,0.147970285,0.32698049,0.095148086,0.049421489,0.08369878,0.265193541,0.199520884,0.066127251,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_welog,0.432923113,0.918777979,0.270492794,0.421007997,0.226444692,0.593697283,0.134340878,0.389392611,0.732005003,0.264317878,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
